,n=4,n=4,n=4,n=5,n=5,n=5,n=6,n=6,n=6,n=7,n=7,n=7,n=8,n=8,n=8,n=9,n=9,n=9,n=10,n=10,n=10,n=15,n=15,n=15,n=20,n=20,n=20
,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5,zne=1,zne=3,zne=5
random pauli sets,,,,,,,,,,,,,,,,,,,,,,,,,,,
set 0,"{'00000': 5, '00001': 481, '11110': 14, '11111': 447}","{'00000': 7, '00001': 430, '11110': 6, '11111': 469}","{'00000': 11, '00001': 477, '11110': 16, '11111': 412}","{'000000': 14, '000001': 450, '111110': 14, '111111': 439}","{'000000': 12, '000001': 451, '111110': 12, '111111': 413}","{'000000': 14, '000001': 419, '111110': 18, '111111': 419}","{'0000000': 31, '0000001': 414, '1111110': 56, '1111111': 356}","{'0000000': 25, '0000001': 429, '1111110': 16, '1111111': 368}","{'0000000': 18, '0000001': 364, '1111110': 36, '1111111': 291}","{'00000000': 18, '00000001': 421, '11111110': 7, '11111111': 378}","{'00000000': 27, '00000001': 393, '11111110': 22, '11111111': 315}","{'00000000': 22, '00000001': 308, '11111110': 30, '11111111': 290}","{'000000000': 11, '000000001': 390, '111111110': 11, '111111111': 431}","{'000000000': 16, '000000001': 365, '111111110': 15, '111111111': 327}","{'000000000': 19, '000000001': 317, '111111110': 17, '111111111': 319}","{'0000000000': 22, '0000000001': 392, '1111111110': 18, '1111111111': 340}","{'0000000000': 11, '0000000001': 360, '1111111110': 20, '1111111111': 292}","{'0000000000': 21, '0000000001': 261, '1111111110': 14, '1111111111': 267}","{'00000000000': 14, '00000000001': 360, '11111111110': 10, '11111111111': 349}","{'00000000000': 22, '00000000001': 290, '11111111110': 34, '11111111111': 277}","{'00000000000': 20, '00000000001': 229, '11111111110': 24, '11111111111': 241}","{'0000000000000000': 29, '0000000000000001': 273, '1111111111111110': 16, '1111111111111111': 278}","{'0000000000000000': 20, '0000000000000001': 198, '1111111111111110': 19, '1111111111111111': 193}","{'0000000000000000': 23, '0000000000000001': 152, '1111111111111110': 28, '1111111111111111': 141}","{'000000000000000000000': 40, '000000000000000000001': 210, '111111111111111111110': 15, '111111111111111111111': 197}","{'000000000000000000000': 14, '000000000000000000001': 111, '111111111111111111110': 14, '111111111111111111111': 106}","{'000000000000000000000': 11, '000000000000000000001': 69, '111111111111111111110': 11, '111111111111111111111': 52}"
set 1,"{'00000': 16, '00001': 434, '11110': 11, '11111': 497}","{'00000': 7, '00001': 465, '11110': 10, '11111': 425}","{'00000': 20, '00001': 447, '11110': 23, '11111': 414}","{'000000': 13, '000001': 451, '111110': 10, '111111': 450}","{'000000': 13, '000001': 431, '111110': 26, '111111': 430}","{'000000': 22, '000001': 407, '111110': 9, '111111': 403}","{'0000000': 19, '0000001': 441, '1111110': 19, '1111111': 411}","{'0000000': 34, '0000001': 387, '1111110': 43, '1111111': 366}","{'0000000': 21, '0000001': 383, '1111110': 44, '1111111': 313}","{'00000000': 12, '00000001': 400, '11111110': 8, '11111111': 406}","{'00000000': 28, '00000001': 352, '11111110': 31, '11111111': 316}","{'00000000': 32, '00000001': 307, '11111110': 24, '11111111': 274}","{'000000000': 13, '000000001': 387, '111111110': 20, '111111111': 409}","{'000000000': 19, '000000001': 346, '111111110': 15, '111111111': 355}","{'000000000': 18, '000000001': 289, '111111110': 23, '111111111': 291}","{'0000000000': 32, '0000000001': 337, '1111111110': 21, '1111111111': 374}","{'0000000000': 17, '0000000001': 343, '1111111110': 18, '1111111111': 301}","{'0000000000': 27, '0000000001': 256, '1111111110': 30, '1111111111': 268}","{'00000000000': 33, '00000000001': 356, '11111111110': 16, '11111111111': 372}","{'00000000000': 28, '00000000001': 296, '11111111110': 61, '11111111111': 221}","{'00000000000': 40, '00000000001': 209, '11111111110': 87, '11111111111': 173}","{'0000000000000000': 19, '0000000000000001': 318, '1111111111111110': 19, '1111111111111111': 238}","{'0000000000000000': 26, '0000000000000001': 210, '1111111111111110': 26, '1111111111111111': 198}","{'0000000000000000': 26, '0000000000000001': 154, '1111111111111110': 15, '1111111111111111': 117}","{'000000000000000000000': 38, '000000000000000000001': 219, '111111111111111111110': 21, '111111111111111111111': 190}","{'000000000000000000000': 21, '000000000000000000001': 142, '111111111111111111110': 17, '111111111111111111111': 101}","{'000000000000000000000': 18, '000000000000000000001': 65, '111111111111111111110': 8, '111111111111111111111': 50}"
set 2,"{'00000': 9, '00001': 480, '11110': 5, '11111': 454}","{'00000': 12, '00001': 446, '11110': 12, '11111': 451}","{'00000': 17, '00001': 437, '11110': 24, '11111': 428}","{'000000': 10, '000001': 453, '111110': 13, '111111': 433}","{'000000': 9, '000001': 444, '111110': 9, '111111': 428}","{'000000': 16, '000001': 405, '111110': 19, '111111': 406}","{'0000000': 37, '0000001': 416, '1111110': 60, '1111111': 360}","{'0000000': 43, '0000001': 378, '1111110': 25, '1111111': 373}","{'0000000': 27, '0000001': 354, '1111110': 25, '1111111': 347}","{'00000000': 15, '00000001': 424, '11111110': 13, '11111111': 385}","{'00000000': 25, '00000001': 308, '11111110': 10, '11111111': 348}","{'00000000': 34, '00000001': 306, '11111110': 29, '11111111': 259}","{'000000000': 7, '000000001': 406, '111111110': 15, '111111111': 400}","{'000000000': 16, '000000001': 338, '111111110': 8, '111111111': 337}","{'000000000': 25, '000000001': 335, '111111110': 22, '111111111': 247}","{'0000000000': 30, '0000000001': 369, '1111111110': 29, '1111111111': 310}","{'0000000000': 18, '0000000001': 321, '1111111110': 19, '1111111111': 323}","{'0000000000': 43, '0000000001': 273, '1111111110': 22, '1111111111': 275}","{'00000000000': 18, '00000000001': 336, '11111111110': 30, '11111111111': 338}","{'00000000000': 18, '00000000001': 290, '11111111110': 20, '11111111111': 305}","{'00000000000': 38, '00000000001': 243, '11111111110': 50, '11111111111': 197}","{'0000000000000000': 22, '0000000000000001': 289, '1111111111111110': 26, '1111111111111111': 274}","{'0000000000000000': 20, '0000000000000001': 153, '1111111111111110': 15, '1111111111111111': 164}","{'0000000000000000': 20, '0000000000000001': 127, '1111111111111110': 18, '1111111111111111': 143}","{'000000000000000000000': 30, '000000000000000000001': 182, '111111111111111111110': 22, '111111111111111111111': 198}","{'000000000000000000000': 24, '000000000000000000001': 115, '111111111111111111110': 17, '111111111111111111111': 127}","{'000000000000000000000': 13, '000000000000000000001': 57, '111111111111111111110': 20, '111111111111111111111': 59}"
set 3,"{'00000': 4, '00001': 484, '11110': 9, '11111': 453}","{'00000': 15, '00001': 445, '11110': 5, '11111': 461}","{'00000': 11, '00001': 434, '11110': 11, '11111': 436}","{'000000': 14, '000001': 450, '111110': 10, '111111': 441}","{'000000': 14, '000001': 450, '111110': 10, '111111': 409}","{'000000': 17, '000001': 425, '111110': 20, '111111': 375}","{'0000000': 28, '0000001': 461, '1111110': 21, '1111111': 388}","{'0000000': 25, '0000001': 388, '1111110': 31, '1111111': 386}","{'0000000': 17, '0000001': 381, '1111110': 29, '1111111': 355}","{'00000000': 11, '00000001': 417, '11111110': 13, '11111111': 380}","{'00000000': 21, '00000001': 342, '11111110': 13, '11111111': 339}","{'00000000': 53, '00000001': 271, '11111110': 39, '11111111': 243}","{'000000000': 10, '000000001': 415, '111111110': 23, '111111111': 378}","{'000000000': 26, '000000001': 372, '111111110': 29, '111111111': 311}","{'000000000': 24, '000000001': 306, '111111110': 32, '111111111': 322}","{'0000000000': 36, '0000000001': 355, '1111111110': 32, '1111111111': 327}","{'0000000000': 10, '0000000001': 311, '1111111110': 18, '1111111111': 292}","{'0000000000': 16, '0000000001': 280, '1111111110': 23, '1111111111': 256}","{'00000000000': 16, '00000000001': 365, '11111111110': 12, '11111111111': 355}","{'00000000000': 17, '00000000001': 294, '11111111110': 16, '11111111111': 279}","{'00000000000': 45, '00000000001': 270, '11111111110': 51, '11111111111': 231}","{'0000000000000000': 13, '0000000000000001': 307, '1111111111111110': 18, '1111111111111111': 245}","{'0000000000000000': 31, '0000000000000001': 196, '1111111111111110': 23, '1111111111111111': 213}","{'0000000000000000': 11, '0000000000000001': 188, '1111111111111110': 19, '1111111111111111': 139}","{'000000000000000000000': 29, '000000000000000000001': 198, '111111111111111111110': 19, '111111111111111111111': 181}","{'000000000000000000000': 22, '000000000000000000001': 111, '111111111111111111110': 19, '111111111111111111111': 93}","{'000000000000000000000': 9, '000000000000000000001': 59, '111111111111111111110': 9, '111111111111111111111': 56}"
set 4,"{'00000': 17, '00001': 463, '11110': 12, '11111': 459}","{'00000': 10, '00001': 481, '11110': 11, '11111': 414}","{'00000': 17, '00001': 432, '11110': 14, '11111': 442}","{'000000': 9, '000001': 462, '111110': 8, '111111': 442}","{'000000': 9, '000001': 436, '111110': 16, '111111': 407}","{'000000': 21, '000001': 435, '111110': 16, '111111': 394}","{'0000000': 35, '0000001': 423, '1111110': 26, '1111111': 393}","{'0000000': 24, '0000001': 382, '1111110': 26, '1111111': 416}","{'0000000': 69, '0000001': 340, '1111110': 33, '1111111': 342}","{'00000000': 10, '00000001': 405, '11111110': 13, '11111111': 377}","{'00000000': 26, '00000001': 368, '11111110': 9, '11111111': 331}","{'00000000': 35, '00000001': 298, '11111110': 20, '11111111': 298}","{'000000000': 12, '000000001': 423, '111111110': 25, '111111111': 373}","{'000000000': 12, '000000001': 358, '111111110': 16, '111111111': 355}","{'000000000': 43, '000000001': 290, '111111110': 16, '111111111': 296}","{'0000000000': 36, '0000000001': 353, '1111111110': 33, '1111111111': 328}","{'0000000000': 42, '0000000001': 320, '1111111110': 27, '1111111111': 284}","{'0000000000': 23, '0000000001': 259, '1111111110': 57, '1111111111': 238}","{'00000000000': 5, '00000000001': 376, '11111111110': 12, '11111111111': 344}","{'00000000000': 25, '00000000001': 276, '11111111110': 25, '11111111111': 272}","{'00000000000': 30, '00000000001': 223, '11111111110': 23, '11111111111': 212}","{'0000000000000000': 12, '0000000000000001': 288, '1111111111111110': 23, '1111111111111111': 253}","{'0000000000000000': 18, '0000000000000001': 198, '1111111111111110': 17, '1111111111111111': 179}","{'0000000000000000': 28, '0000000000000001': 137, '1111111111111110': 26, '1111111111111111': 132}","{'000000000000000000000': 19, '000000000000000000001': 219, '111111111111111111110': 16, '111111111111111111111': 157}","{'000000000000000000000': 27, '000000000000000000001': 116, '111111111111111111110': 14, '111111111111111111111': 95}","{'000000000000000000000': 13, '000000000000000000001': 46, '111111111111111111110': 14, '111111111111111111111': 40}"
set 5,"{'00000': 7, '00001': 451, '11110': 7, '11111': 466}","{'00000': 10, '00001': 467, '11110': 9, '11111': 405}","{'00000': 14, '00001': 458, '11110': 17, '11111': 385}","{'000000': 10, '000001': 430, '111110': 11, '111111': 468}","{'000000': 14, '000001': 469, '111110': 9, '111111': 415}","{'000000': 27, '000001': 422, '111110': 26, '111111': 375}","{'0000000': 18, '0000001': 438, '1111110': 39, '1111111': 390}","{'0000000': 29, '0000001': 402, '1111110': 41, '1111111': 381}","{'0000000': 54, '0000001': 365, '1111110': 35, '1111111': 321}","{'00000000': 21, '00000001': 409, '11111110': 6, '11111111': 396}","{'00000000': 25, '00000001': 350, '11111110': 16, '11111111': 310}","{'00000000': 26, '00000001': 302, '11111110': 30, '11111111': 319}","{'000000000': 6, '000000001': 407, '111111110': 20, '111111111': 398}","{'000000000': 9, '000000001': 366, '111111110': 17, '111111111': 339}","{'000000000': 23, '000000001': 303, '111111110': 16, '111111111': 308}","{'0000000000': 18, '0000000001': 387, '1111111110': 21, '1111111111': 375}","{'0000000000': 20, '0000000001': 280, '1111111110': 35, '1111111111': 280}","{'0000000000': 26, '0000000001': 275, '1111111110': 18, '1111111111': 300}","{'00000000000': 20, '00000000001': 383, '11111111110': 13, '11111111111': 339}","{'00000000000': 30, '00000000001': 249, '11111111110': 57, '11111111111': 246}","{'00000000000': 20, '00000000001': 250, '11111111110': 24, '11111111111': 247}","{'0000000000000000': 24, '0000000000000001': 292, '1111111111111110': 22, '1111111111111111': 244}","{'0000000000000000': 19, '0000000000000001': 216, '1111111111111110': 22, '1111111111111111': 190}","{'0000000000000000': 37, '0000000000000001': 137, '1111111111111110': 22, '1111111111111111': 120}","{'000000000000000000000': 18, '000000000000000000001': 201, '111111111111111111110': 16, '111111111111111111111': 182}","{'000000000000000000000': 19, '000000000000000000001': 116, '111111111111111111110': 18, '111111111111111111111': 98}","{'000000000000000000000': 10, '000000000000000000001': 57, '111111111111111111110': 14, '111111111111111111111': 46}"
set 6,"{'00000': 14, '00001': 480, '11110': 13, '11111': 433}","{'00000': 8, '00001': 461, '11110': 8, '11111': 432}","{'00000': 7, '00001': 429, '11110': 15, '11111': 451}","{'000000': 11, '000001': 457, '111110': 16, '111111': 438}","{'000000': 16, '000001': 455, '111110': 12, '111111': 402}","{'000000': 33, '000001': 410, '111110': 14, '111111': 381}","{'0000000': 20, '0000001': 413, '1111110': 28, '1111111': 412}","{'0000000': 11, '0000001': 382, '1111110': 25, '1111111': 417}","{'0000000': 34, '0000001': 390, '1111110': 28, '1111111': 333}","{'00000000': 17, '00000001': 431, '11111110': 10, '11111111': 376}","{'00000000': 28, '00000001': 342, '11111110': 26, '11111111': 314}","{'00000000': 31, '00000001': 318, '11111110': 21, '11111111': 329}","{'000000000': 13, '000000001': 429, '111111110': 20, '111111111': 367}","{'000000000': 22, '000000001': 364, '111111110': 22, '111111111': 333}","{'000000000': 21, '000000001': 286, '111111110': 19, '111111111': 304}","{'0000000000': 15, '0000000001': 414, '1111111110': 10, '1111111111': 369}","{'0000000000': 17, '0000000001': 297, '1111111110': 15, '1111111111': 274}","{'0000000000': 30, '0000000001': 295, '1111111110': 26, '1111111111': 266}","{'00000000000': 20, '00000000001': 400, '11111111110': 24, '11111111111': 334}","{'00000000000': 30, '00000000001': 276, '11111111110': 33, '11111111111': 263}","{'00000000000': 28, '00000000001': 206, '11111111110': 21, '11111111111': 221}","{'0000000000000000': 15, '0000000000000001': 305, '1111111111111110': 21, '1111111111111111': 286}","{'0000000000000000': 30, '0000000000000001': 189, '1111111111111110': 21, '1111111111111111': 204}","{'0000000000000000': 25, '0000000000000001': 116, '1111111111111110': 25, '1111111111111111': 120}","{'000000000000000000000': 21, '000000000000000000001': 206, '111111111111111111110': 20, '111111111111111111111': 181}","{'000000000000000000000': 16, '000000000000000000001': 133, '111111111111111111110': 21, '111111111111111111111': 89}","{'000000000000000000000': 14, '000000000000000000001': 60, '111111111111111111110': 11, '111111111111111111111': 43}"
